label,FID,KID
1,157.998974,0.150058
2,123.995648,0.106946
3,131.862590,0.119706
4,142.460023,0.133797
5,109.439525,0.092106
6,99.590843,0.076379
7,97.580207,0.078567
8,102.402872,0.086055
9,105.026964,0.089478
10,94.225630,0.073550
11,100.132112,0.082818
12,93.120729,0.071244
13,106.320622,0.093933
14,102.435613,0.081927
15,100.924973,0.082340
16,98.209079,0.077983
17,96.039162,0.076738
18,87.463833,0.065343
19,88.831975,0.065495
20,92.735038,0.070979
21,94.175100,0.075246
22,99.080996,0.082417
23,85.720163,0.065323
24,90.958902,0.070006
25,87.576723,0.068127
26,83.291004,0.061379
27,93.661481,0.073673
28,86.513202,0.064224
29,95.295106,0.077445
30,92.493007,0.075247
