label,FID,KID
1,160.198127,0.154717
2,150.368827,0.149702
3,117.710307,0.101699
4,127.118045,0.115411
5,107.249522,0.090698
6,103.619046,0.089857
7,90.196357,0.068085
8,96.933072,0.075739
9,91.208584,0.070475
10,85.460761,0.064218
11,99.227510,0.080640
12,98.114500,0.082496
13,94.727794,0.076130
14,93.884523,0.074656
15,97.129080,0.076735
16,94.513139,0.080841
17,96.344804,0.082296
18,90.755000,0.068789
19,93.230856,0.074912
20,89.640276,0.072238
21,85.959737,0.066360
22,90.934801,0.073152
23,84.041046,0.061645
24,86.368646,0.065459
25,87.989230,0.068118
26,91.711648,0.068265
27,86.916756,0.066585
28,90.527102,0.070662
29,96.535348,0.077418
30,93.092115,0.073759
