label,FID,KID
1,266.478891,0.322202
2,172.734237,0.177992
3,135.165810,0.119810
4,123.309803,0.108221
5,123.462304,0.111191
6,129.449163,0.113786
7,115.062808,0.096409
8,97.195899,0.072714
9,96.019760,0.072968
10,104.637920,0.079165
11,106.183801,0.086340
12,87.476280,0.060361
13,98.379032,0.077714
14,95.949803,0.072704
15,90.269866,0.066311
16,91.674839,0.067280
17,92.229453,0.067040
18,92.606762,0.070713
19,95.194267,0.071593
20,89.839687,0.067446
21,97.292909,0.075738
22,100.028934,0.081792
23,94.649299,0.072229
24,84.781235,0.060419
25,101.395477,0.083628
26,102.196737,0.083556
27,98.742513,0.078938
28,87.874809,0.062665
29,93.007015,0.070939
30,92.283057,0.072255
